model	fcst_var	fcst_lead	fbias
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	270000	1.1777833333333334
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	300000	1.2248366666666668
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	330000	1.2941550000000002
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	360000	1.37707
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	030000	1.478535
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	060000	1.2937
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	090000	1.2754233333333334
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	120000	1.35002
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	150000	1.3082383333333334
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	180000	1.126345
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	210000	1.1074816666666667
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	240000	1.1417783333333333
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	270000	1.2183366666666666
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	300000	1.3104416666666667
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	330000	1.3310899999999999
RRFS_GDAS_GF.SPP.SPPT_mem07	APCP_03	360000	1.3748683333333334
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	030000	1.4897066666666667
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	060000	1.3161233333333333
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	090000	1.30354
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	120000	1.3513650000000001
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	150000	1.3290983333333333
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	180000	1.1592116666666665
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	210000	1.1359916666666667
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	240000	1.1713716666666667
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	270000	1.2329583333333334
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	300000	1.2638416666666668
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	330000	1.30898
RRFS_GDAS_GF.SPP.SPPT_mem08	APCP_03	360000	1.39143
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	030000	1.4870433333333333
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	060000	1.2941833333333335
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	090000	1.2782816666666668
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	120000	1.3472183333333334
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	150000	1.3057566666666667
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	180000	1.1497716666666666
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	210000	1.1001133333333333
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	240000	1.1628033333333334
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	270000	1.2209216666666667
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	300000	1.3002266666666666
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	330000	1.317275
RRFS_GDAS_GF.SPP.SPPT_mem09	APCP_03	360000	1.3720416666666668
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	030000	1.4799600000000002
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	060000	1.2729816666666667
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	090000	1.2704583333333332
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	120000	1.3253733333333333
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	150000	1.3058583333333333
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	180000	1.1373266666666666
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	210000	1.1065166666666666
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	240000	1.17208
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	270000	1.2514450000000001
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	300000	1.280705
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	330000	1.28631
RRFS_GDAS_GF.SPP.SPPT_mem10	APCP_03	360000	1.3550283333333333
