date	lead_time	member	rmse
2022-05-01 00:00:00	0	ens_0	0.930373535156263
2022-05-01 00:00:00	0	ens_1	0.930373535156263
2022-05-01 00:00:00	0	ens_2	0.8403735351562306
2022-05-01 00:00:00	0	ens_3	0.730373535156274
2022-05-01 00:00:00	0	ens_4	1.0203735351562393
2022-05-01 00:00:00	0	ens_5	1.0203735351562393
2022-05-01 00:00:00	0	ens_6	1.0803735351562416
2022-05-01 00:00:00	0	ens_7	0.9803735351562759
2022-05-01 00:00:00	0	ens_8	0.7003735351562455
2022-05-01 00:00:00	0	ens_9	1.0203735351562393
2022-05-01 00:00:00	1	ens_0	1.1704833984375094
2022-05-01 00:00:00	1	ens_1	1.0404833984375137
2022-05-01 00:00:00	1	ens_2	1.0704833984374902
2022-05-01 00:00:00	1	ens_3	1.3404833984375293
2022-05-01 00:00:00	1	ens_4	1.11048339843751
2022-05-01 00:00:00	1	ens_5	1.3604833984375098
2022-05-01 00:00:00	1	ens_6	1.2104833984375298
2022-05-01 00:00:00	1	ens_7	1.6804833984375018
2022-05-01 00:00:00	1	ens_8	1.0404833984375137
2022-05-01 00:00:00	1	ens_9	1.1704833984375094
2022-05-01 00:00:00	2	ens_0	1.2902648925781395
2022-05-01 00:00:00	2	ens_1	1.2102648925781503
2022-05-01 00:00:00	2	ens_2	1.1502648925781478
2022-05-01 00:00:00	2	ens_3	1.5002648925781177
2022-05-01 00:00:00	2	ens_4	1.310264892578116
2022-05-01 00:00:00	2	ens_5	1.4302648925781227
2022-05-01 00:00:00	2	ens_6	1.3502648925781384
2022-05-01 00:00:00	2	ens_7	1.780264892578143
2022-05-01 00:00:00	2	ens_8	1.1702648925781312
2022-05-01 00:00:00	2	ens_9	1.2802648925781457
2022-05-01 00:00:00	3	ens_0	1.4875402832031477
2022-05-01 00:00:00	3	ens_1	1.5075402832031302
2022-05-01 00:00:00	3	ens_2	1.3175402832031315
2022-05-01 00:00:00	3	ens_3	1.7475402832031377
2022-05-01 00:00:00	3	ens_4	1.5875402832031131
2022-05-01 00:00:00	3	ens_5	1.6375402832031256
2022-05-01 00:00:00	3	ens_6	1.5675402832031313
2022-05-01 00:00:00	3	ens_7	1.947540283203125
2022-05-01 00:00:00	3	ens_8	1.3975402832031156
2022-05-01 00:00:00	3	ens_9	1.4975402832031333
2022-05-01 00:00:00	4	ens_0	1.4364733886718561
2022-05-01 00:00:00	4	ens_1	1.4764733886718786
2022-05-01 00:00:00	4	ens_2	1.156473388671886
2022-05-01 00:00:00	4	ens_3	1.7164733886718848
2022-05-01 00:00:00	4	ens_4	1.536473388671879
2022-05-01 00:00:00	4	ens_5	1.596473388671881
2022-05-01 00:00:00	4	ens_6	1.5164733886718964
2022-05-01 00:00:00	4	ens_7	1.7964733886718682
2022-05-01 00:00:00	4	ens_8	1.2664733886718988
2022-05-01 00:00:00	4	ens_9	1.3364733886718885
2022-05-01 00:00:00	5	ens_0	1.3168310546875008
2022-05-01 00:00:00	5	ens_1	1.3968310546874834
2022-05-01 00:00:00	5	ens_2	1.0768310546874897
2022-05-01 00:00:00	5	ens_3	1.6668310546875214
2022-05-01 00:00:00	5	ens_4	1.4468310546874914
2022-05-01 00:00:00	5	ens_5	1.5768310546874909
2022-05-01 00:00:00	5	ens_6	1.2882958984375248
2022-05-01 00:00:00	5	ens_7	1.6868310546875056
2022-05-01 00:00:00	5	ens_8	1.1268310546875
2022-05-01 00:00:00	5	ens_9	1.1668310546875216
2022-05-01 00:00:00	6	ens_0	0.9140246582031181
2022-05-01 00:00:00	6	ens_1	1.3540246582031175
2022-05-01 00:00:00	6	ens_2	0.964024658203131
2022-05-01 00:00:00	6	ens_3	1.6240246582031517
2022-05-01 00:00:00	6	ens_4	1.3540246582031175
2022-05-01 00:00:00	6	ens_5	1.5540246582031039
2022-05-01 00:00:00	6	ens_6	1.1640246582031164
2022-05-01 00:00:00	6	ens_7	1.5440246582031159
2022-05-01 00:00:00	6	ens_8	1.0440246582031147
2022-05-01 00:00:00	6	ens_9	1.124024658203156
2022-05-01 00:00:00	7	ens_0	0.6570251464843863
2022-05-01 00:00:00	7	ens_1	1.2870251464843823
2022-05-01 00:00:00	7	ens_2	0.9970251464843625
2022-05-01 00:00:00	7	ens_3	1.5670251464843532
2022-05-01 00:00:00	7	ens_4	1.1170251464843646
2022-05-01 00:00:00	7	ens_5	1.4770251464843822
2022-05-01 00:00:00	7	ens_6	1.237025146484371
2022-05-01 00:00:00	7	ens_7	1.5870251464843899
2022-05-01 00:00:00	7	ens_8	1.0270251464843916
2022-05-01 00:00:00	7	ens_9	1.1370251464844034
2022-05-01 00:00:00	8	ens_0	0.6346374511718972
2022-05-01 00:00:00	8	ens_1	1.1446374511718902
2022-05-01 00:00:00	8	ens_2	0.9446374511718979
2022-05-01 00:00:00	8	ens_3	1.3646374511718606
2022-05-01 00:00:00	8	ens_4	0.6746374511718616
2022-05-01 00:00:00	8	ens_5	1.2346374511718634
2022-05-01 00:00:00	8	ens_6	1.0746374511718937
2022-05-01 00:00:00	8	ens_7	1.544637451171868
2022-05-01 00:00:00	8	ens_8	0.89463745117189
2022-05-01 00:00:00	8	ens_9	0.9646374511718823
2022-05-01 00:00:00	9	ens_0	0.609627685546855
2022-05-01 00:00:00	9	ens_1	0.9896276855469064
2022-05-01 00:00:00	9	ens_2	0.8196276855468899
2022-05-01 00:00:00	9	ens_3	1.06962768554689
2022-05-01 00:00:00	9	ens_4	0.4296276855469043
2022-05-01 00:00:00	9	ens_5	0.9496276855468857
2022-05-01 00:00:00	9	ens_6	0.6796276855469047
2022-05-01 00:00:00	9	ens_7	1.3696276855469032
2022-05-01 00:00:00	9	ens_8	0.609627685546855
2022-05-01 00:00:00	9	ens_9	0.5596276855469003
2022-05-01 00:00:00	10	ens_0	0.6443969726562392
2022-05-01 00:00:00	10	ens_1	0.9743969726562778
2022-05-01 00:00:00	10	ens_2	0.7843969726562809
2022-05-01 00:00:00	10	ens_3	0.9943969726562614
2022-05-01 00:00:00	10	ens_4	0.42439697265626736
