model	fcst_var	fcst_lead	fcst_thresh	interp_pnts	fss
NAMnest_mem000	REFC	000000	>=40	9	0.0999620322580645
NAMnest_mem000	REFC	010000	>=40	9	0.08489916129032257
NAMnest_mem000	REFC	020000	>=40	9	0.07917283870967742
NAMnest_mem000	REFC	030000	>=40	9	0.07039983354838711
NAMnest_mem000	REFC	040000	>=40	9	0.08355064612903226
NAMnest_mem000	REFC	050000	>=40	9	0.07993057741935485
NAMnest_mem000	REFC	060000	>=40	9	0.07197278677419355
NAMnest_mem000	REFC	070000	>=40	9	0.0669145535483871
NAMnest_mem000	REFC	080000	>=40	9	0.06270554838709677
NAMnest_mem000	REFC	090000	>=40	9	0.06069903548387097
NAMnest_mem000	REFC	100000	>=40	9	0.05978159161290322
NAMnest_mem000	REFC	110000	>=40	9	0.06700740058064517
NAMnest_mem000	REFC	120000	>=40	9	0.07937785303225807
NAMnest_mem000	REFC	130000	>=40	9	0.05581879419354839
NAMnest_mem000	REFC	140000	>=40	9	0.06752607629032258
NAMnest_mem000	REFC	150000	>=40	9	0.05649877096774194
NAMnest_mem000	REFC	160000	>=40	9	0.052622437419354844
NAMnest_mem000	REFC	170000	>=40	9	0.05262526064516129
NAMnest_mem000	REFC	180000	>=40	9	0.04253071064516129
NAMnest_mem000	REFC	190000	>=40	9	0.04330088193548387
NAMnest_mem000	REFC	200000	>=40	9	0.04337873225806452
NAMnest_mem000	REFC	210000	>=40	9	0.0415038935483871
NAMnest_mem000	REFC	220000	>=40	9	0.039631
NAMnest_mem000	REFC	230000	>=40	9	0.048600335483870966
NAMnest_mem000	REFC	240000	>=40	9	0.04774368064516129
NAMnest_mem000	REFC	250000	>=40	9	0.040733629032258065
NAMnest_mem000	REFC	260000	>=40	9	0.04041774774193548
NAMnest_mem000	REFC	270000	>=40	9	0.04155657967741935
NAMnest_mem000	REFC	280000	>=40	9	0.05107252870967742
NAMnest_mem000	REFC	290000	>=40	9	0.052009974193548386
NAMnest_mem000	REFC	300000	>=40	9	0.051269654838709676
NAMnest_mem000	REFC	310000	>=40	9	0.04510339316129032
NAMnest_mem000	REFC	320000	>=40	9	0.03690407190322581
NAMnest_mem000	REFC	330000	>=40	9	0.03908061290322581
NAMnest_mem000	REFC	340000	>=40	9	0.038157210677419354
NAMnest_mem000	REFC	350000	>=40	9	0.02873807129032258
NAMnest_mem000	REFC	360000	>=40	9	0.032157940838709674
NAMnest_mem000	REFC	370000	>=40	9	0.035366949935483866
NAMnest_mem000	REFC	380000	>=40	9	0.03319584329032258
NAMnest_mem000	REFC	390000	>=40	9	0.030866217741935483
NAMnest_mem000	REFC	400000	>=40	9	0.024858729258064517
NAMnest_mem000	REFC	410000	>=40	9	0.01857518741935484
NAMnest_mem000	REFC	420000	>=40	9	0.018314865096774192
NAMnest_mem000	REFC	430000	>=40	9	0.024772832258064516
NAMnest_mem000	REFC	440000	>=40	9	0.022698800967741933
NAMnest_mem000	REFC	450000	>=40	9	0.024994825161290323
NAMnest_mem000	REFC	460000	>=40	9	0.024837703225806453
NAMnest_mem000	REFC	470000	>=40	9	0.026163274193548386
NAMnest_mem000	REFC	480000	>=40	9	0.03214191612903226
NAMnest_mem000	REFC	490000	>=40	9	0.03327504838709677
NAMnest_mem000	REFC	500000	>=40	9	0.03127464193548387
NAMnest_mem000	REFC	510000	>=40	9	0.03265065387096774
NAMnest_mem000	REFC	520000	>=40	9	0.033808816129032256
NAMnest_mem000	REFC	530000	>=40	9	0.031691684838709676
NAMnest_mem000	REFC	540000	>=40	9	0.03141219612903226
NAMnest_mem000	REFC	550000	>=40	9	0.029144401612903225
NAMnest_mem000	REFC	560000	>=40	9	0.026616553935483872
NAMnest_mem000	REFC	570000	>=40	9	0.031501083903225806
NAMnest_mem000	REFC	580000	>=40	9	0.030817669677419356
NAMnest_mem000	REFC	590000	>=40	9	0.026798522258064516
NAMnest_mem000	REFC	600000	>=40	9	0.027110029677419354
