model	fcst_var	fcst_lead	fcst_thresh	interp_pnts	fss
NAMnest_mem000	REFC	000000	>=40	81	0.176385
NAMnest_mem000	REFC	010000	>=40	81	0.14197251612903225
NAMnest_mem000	REFC	020000	>=40	81	0.13102229032258064
NAMnest_mem000	REFC	030000	>=40	81	0.11744317096774194
NAMnest_mem000	REFC	040000	>=40	81	0.13504792903225807
NAMnest_mem000	REFC	050000	>=40	81	0.13034364516129032
NAMnest_mem000	REFC	060000	>=40	81	0.11710546774193548
NAMnest_mem000	REFC	070000	>=40	81	0.1052129064516129
NAMnest_mem000	REFC	080000	>=40	81	0.0995659935483871
NAMnest_mem000	REFC	090000	>=40	81	0.09910968096774193
NAMnest_mem000	REFC	100000	>=40	81	0.10077884838709678
NAMnest_mem000	REFC	110000	>=40	81	0.10906279032258064
NAMnest_mem000	REFC	120000	>=40	81	0.12839679838709678
NAMnest_mem000	REFC	130000	>=40	81	0.09585380516129033
NAMnest_mem000	REFC	140000	>=40	81	0.10969675903225806
NAMnest_mem000	REFC	150000	>=40	81	0.09368867742903225
NAMnest_mem000	REFC	160000	>=40	81	0.08975113879032258
NAMnest_mem000	REFC	170000	>=40	81	0.0919348393548387
NAMnest_mem000	REFC	180000	>=40	81	0.07864694193548387
NAMnest_mem000	REFC	190000	>=40	81	0.08650014838709677
NAMnest_mem000	REFC	200000	>=40	81	0.08471603225806451
NAMnest_mem000	REFC	210000	>=40	81	0.08218625806451613
NAMnest_mem000	REFC	220000	>=40	81	0.07827093548387097
NAMnest_mem000	REFC	230000	>=40	81	0.08874183870967742
NAMnest_mem000	REFC	240000	>=40	81	0.08366464838709677
NAMnest_mem000	REFC	250000	>=40	81	0.06972884838709677
NAMnest_mem000	REFC	260000	>=40	81	0.06967046032258065
NAMnest_mem000	REFC	270000	>=40	81	0.07099121612903225
NAMnest_mem000	REFC	280000	>=40	81	0.08017803129032257
NAMnest_mem000	REFC	290000	>=40	81	0.08565675193548387
NAMnest_mem000	REFC	300000	>=40	81	0.08460661322580645
NAMnest_mem000	REFC	310000	>=40	81	0.07406118064516129
NAMnest_mem000	REFC	320000	>=40	81	0.06240202909677419
NAMnest_mem000	REFC	330000	>=40	81	0.06661177161290323
NAMnest_mem000	REFC	340000	>=40	81	0.06263957129032258
NAMnest_mem000	REFC	350000	>=40	81	0.04958097387096774
NAMnest_mem000	REFC	360000	>=40	81	0.05438772277419355
NAMnest_mem000	REFC	370000	>=40	81	0.060041444516129035
NAMnest_mem000	REFC	380000	>=40	81	0.05701647032258064
NAMnest_mem000	REFC	390000	>=40	81	0.05269474058064517
NAMnest_mem000	REFC	400000	>=40	81	0.04448218877419355
NAMnest_mem000	REFC	410000	>=40	81	0.037318779870967746
NAMnest_mem000	REFC	420000	>=40	81	0.037903037419354836
NAMnest_mem000	REFC	430000	>=40	81	0.05024450322580645
NAMnest_mem000	REFC	440000	>=40	81	0.0456601
NAMnest_mem000	REFC	450000	>=40	81	0.04938095806451613
NAMnest_mem000	REFC	460000	>=40	81	0.04865763548387097
NAMnest_mem000	REFC	470000	>=40	81	0.048467154838709677
NAMnest_mem000	REFC	480000	>=40	81	0.05892026129032258
NAMnest_mem000	REFC	490000	>=40	81	0.058553987096774195
NAMnest_mem000	REFC	500000	>=40	81	0.05405647096774194
NAMnest_mem000	REFC	510000	>=40	81	0.055023591290322575
NAMnest_mem000	REFC	520000	>=40	81	0.056613735561290325
NAMnest_mem000	REFC	530000	>=40	81	0.052423906451612906
NAMnest_mem000	REFC	540000	>=40	81	0.052109925806451615
NAMnest_mem000	REFC	550000	>=40	81	0.04703840674193548
NAMnest_mem000	REFC	560000	>=40	81	0.042742133548387094
NAMnest_mem000	REFC	570000	>=40	81	0.052280082193548384
NAMnest_mem000	REFC	580000	>=40	81	0.05198529290322581
NAMnest_mem000	REFC	590000	>=40	81	0.04519785303225807
NAMnest_mem000	REFC	600000	>=40	81	0.04629109
