model	fcst_var	fcst_lead	fcst_thresh	interp_pnts	fss
NAMnest_mem000	REFC	000000	>=30	9	0.2771896774193548
NAMnest_mem000	REFC	010000	>=30	9	0.26737516129032257
NAMnest_mem000	REFC	020000	>=30	9	0.23887806451612903
NAMnest_mem000	REFC	030000	>=30	9	0.2217525806451613
NAMnest_mem000	REFC	040000	>=30	9	0.21322270967741935
NAMnest_mem000	REFC	050000	>=30	9	0.20410567741935484
NAMnest_mem000	REFC	060000	>=30	9	0.21177629032258063
NAMnest_mem000	REFC	070000	>=30	9	0.20694958064516128
NAMnest_mem000	REFC	080000	>=30	9	0.19974435483870967
NAMnest_mem000	REFC	090000	>=30	9	0.19717019354838708
NAMnest_mem000	REFC	100000	>=30	9	0.19871722580645163
NAMnest_mem000	REFC	110000	>=30	9	0.20278651612903226
NAMnest_mem000	REFC	120000	>=30	9	0.2015283193548387
NAMnest_mem000	REFC	130000	>=30	9	0.1909673741935484
NAMnest_mem000	REFC	140000	>=30	9	0.1876011677419355
NAMnest_mem000	REFC	150000	>=30	9	0.17921954838709678
NAMnest_mem000	REFC	160000	>=30	9	0.17647723225806453
NAMnest_mem000	REFC	170000	>=30	9	0.16848317419354839
NAMnest_mem000	REFC	180000	>=30	9	0.162456
NAMnest_mem000	REFC	190000	>=30	9	0.15311190322580645
NAMnest_mem000	REFC	200000	>=30	9	0.14437235483870967
NAMnest_mem000	REFC	210000	>=30	9	0.13649416129032257
NAMnest_mem000	REFC	220000	>=30	9	0.13278790322580644
NAMnest_mem000	REFC	230000	>=30	9	0.13259806451612904
NAMnest_mem000	REFC	240000	>=30	9	0.13109206451612904
NAMnest_mem000	REFC	250000	>=30	9	0.13217425806451613
NAMnest_mem000	REFC	260000	>=30	9	0.13122067741935484
NAMnest_mem000	REFC	270000	>=30	9	0.13192251612903225
NAMnest_mem000	REFC	280000	>=30	9	0.13426719354838712
NAMnest_mem000	REFC	290000	>=30	9	0.13437570967741935
NAMnest_mem000	REFC	300000	>=30	9	0.1306915677419355
NAMnest_mem000	REFC	310000	>=30	9	0.1318265483870968
NAMnest_mem000	REFC	320000	>=30	9	0.12462005483870968
NAMnest_mem000	REFC	330000	>=30	9	0.12005914516129032
NAMnest_mem000	REFC	340000	>=30	9	0.11561730967741936
NAMnest_mem000	REFC	350000	>=30	9	0.10370064193548387
NAMnest_mem000	REFC	360000	>=30	9	0.10260264838709678
NAMnest_mem000	REFC	370000	>=30	9	0.1044568064516129
NAMnest_mem000	REFC	380000	>=30	9	0.10276358064516129
NAMnest_mem000	REFC	390000	>=30	9	0.09731594193548387
NAMnest_mem000	REFC	400000	>=30	9	0.0950334935483871
NAMnest_mem000	REFC	410000	>=30	9	0.08991413870967742
NAMnest_mem000	REFC	420000	>=30	9	0.08829773548387097
NAMnest_mem000	REFC	430000	>=30	9	0.09161964516129031
NAMnest_mem000	REFC	440000	>=30	9	0.09166112903225807
NAMnest_mem000	REFC	450000	>=30	9	0.09180838709677419
NAMnest_mem000	REFC	460000	>=30	9	0.08714006451612903
NAMnest_mem000	REFC	470000	>=30	9	0.08705496774193548
NAMnest_mem000	REFC	480000	>=30	9	0.09054987096774195
NAMnest_mem000	REFC	490000	>=30	9	0.092832
NAMnest_mem000	REFC	500000	>=30	9	0.09477000000000001
NAMnest_mem000	REFC	510000	>=30	9	0.10192309677419356
NAMnest_mem000	REFC	520000	>=30	9	0.09850677419354839
NAMnest_mem000	REFC	530000	>=30	9	0.09919954838709677
NAMnest_mem000	REFC	540000	>=30	9	0.107338
NAMnest_mem000	REFC	550000	>=30	9	0.10670616774193548
NAMnest_mem000	REFC	560000	>=30	9	0.10428686129032258
NAMnest_mem000	REFC	570000	>=30	9	0.09909460322580646
NAMnest_mem000	REFC	580000	>=30	9	0.10017891290322582
NAMnest_mem000	REFC	590000	>=30	9	0.09828201935483871
NAMnest_mem000	REFC	600000	>=30	9	0.0911984193548387
