model	fcst_var	fcst_lead	fcst_thresh	interp_pnts	fss
NAMnest_mem000	REFC	000000	>=20	81	0.5453338709677419
NAMnest_mem000	REFC	010000	>=20	81	0.5147496774193548
NAMnest_mem000	REFC	020000	>=20	81	0.49117225806451614
NAMnest_mem000	REFC	030000	>=20	81	0.4689067741935484
NAMnest_mem000	REFC	040000	>=20	81	0.4528835483870968
NAMnest_mem000	REFC	050000	>=20	81	0.4380606451612903
NAMnest_mem000	REFC	060000	>=20	81	0.44035129032258064
NAMnest_mem000	REFC	070000	>=20	81	0.4395851612903226
NAMnest_mem000	REFC	080000	>=20	81	0.4387312903225806
NAMnest_mem000	REFC	090000	>=20	81	0.433158064516129
NAMnest_mem000	REFC	100000	>=20	81	0.42517
NAMnest_mem000	REFC	110000	>=20	81	0.4148009677419355
NAMnest_mem000	REFC	120000	>=20	81	0.40900267741935487
NAMnest_mem000	REFC	130000	>=20	81	0.40130096774193547
NAMnest_mem000	REFC	140000	>=20	81	0.3943584516129032
NAMnest_mem000	REFC	150000	>=20	81	0.38546383870967743
NAMnest_mem000	REFC	160000	>=20	81	0.38039267741935484
NAMnest_mem000	REFC	170000	>=20	81	0.3716503870967742
NAMnest_mem000	REFC	180000	>=20	81	0.36106732258064517
NAMnest_mem000	REFC	190000	>=20	81	0.35702870967741934
NAMnest_mem000	REFC	200000	>=20	81	0.3553093548387097
NAMnest_mem000	REFC	210000	>=20	81	0.35568129032258067
NAMnest_mem000	REFC	220000	>=20	81	0.3493532258064516
NAMnest_mem000	REFC	230000	>=20	81	0.3432987096774194
NAMnest_mem000	REFC	240000	>=20	81	0.33970225806451615
NAMnest_mem000	REFC	250000	>=20	81	0.3404322580645161
NAMnest_mem000	REFC	260000	>=20	81	0.34054387096774197
NAMnest_mem000	REFC	270000	>=20	81	0.34112
NAMnest_mem000	REFC	280000	>=20	81	0.33914
NAMnest_mem000	REFC	290000	>=20	81	0.3392425806451613
NAMnest_mem000	REFC	300000	>=20	81	0.34110870967741935
NAMnest_mem000	REFC	310000	>=20	81	0.3300203225806452
NAMnest_mem000	REFC	320000	>=20	81	0.3157611290322581
NAMnest_mem000	REFC	330000	>=20	81	0.30818425806451616
NAMnest_mem000	REFC	340000	>=20	81	0.2993407096774194
NAMnest_mem000	REFC	350000	>=20	81	0.2868846129032258
NAMnest_mem000	REFC	360000	>=20	81	0.28837748387096773
NAMnest_mem000	REFC	370000	>=20	81	0.28702116129032257
NAMnest_mem000	REFC	380000	>=20	81	0.28237054838709674
NAMnest_mem000	REFC	390000	>=20	81	0.279817
NAMnest_mem000	REFC	400000	>=20	81	0.2725358064516129
NAMnest_mem000	REFC	410000	>=20	81	0.2657956129032258
NAMnest_mem000	REFC	420000	>=20	81	0.2662067741935484
NAMnest_mem000	REFC	430000	>=20	81	0.2720970967741935
NAMnest_mem000	REFC	440000	>=20	81	0.276248064516129
NAMnest_mem000	REFC	450000	>=20	81	0.2842616129032258
NAMnest_mem000	REFC	460000	>=20	81	0.27673451612903227
NAMnest_mem000	REFC	470000	>=20	81	0.2787195483870968
NAMnest_mem000	REFC	480000	>=20	81	0.2804087096774193
NAMnest_mem000	REFC	490000	>=20	81	0.27295838709677417
NAMnest_mem000	REFC	500000	>=20	81	0.2765912903225806
NAMnest_mem000	REFC	510000	>=20	81	0.27478387096774193
NAMnest_mem000	REFC	520000	>=20	81	0.2734964516129032
NAMnest_mem000	REFC	530000	>=20	81	0.27390290322580646
NAMnest_mem000	REFC	540000	>=20	81	0.2765677419354839
NAMnest_mem000	REFC	550000	>=20	81	0.2711012903225806
NAMnest_mem000	REFC	560000	>=20	81	0.26673577419354844
NAMnest_mem000	REFC	570000	>=20	81	0.2656820322580645
NAMnest_mem000	REFC	580000	>=20	81	0.2587497419354839
NAMnest_mem000	REFC	590000	>=20	81	0.24957209677419354
NAMnest_mem000	REFC	600000	>=20	81	0.2444987741935484
