date	model	fcst_var	fcst_lead	vx_mask	fcst_thresh	interp_pnts	fss
2024-05-01 03:00:00	NAMnest_mem000	REFC	030000	CONUS	>=20	361	0.56899
2024-05-01 03:00:00	NAMnest_mem000	REFC	030000	CONUS	>=30	361	0.2478
2024-05-01 03:00:00	NAMnest_mem000	REFC	030000	CONUS	>=40	361	0.12186
2024-05-01 03:00:00	NAMnest_mem000	REFC	030000	CONUS	>=50	361	0.084658
2024-05-01 03:00:00	NAMnest_mem000	REFC	030000	CONUS	>=50	729	0.12806
2024-05-01 03:00:00	NAMnest_mem000	REFC	030000	CONUS	>=30	729	0.30143
2024-05-01 03:00:00	NAMnest_mem000	REFC	030000	CONUS	>=40	729	0.17356
2024-05-01 03:00:00	NAMnest_mem000	REFC	030000	CONUS	>=50	81	0.022886
2024-05-01 03:00:00	NAMnest_mem000	REFC	030000	CONUS	>=20	729	0.61202
2024-05-01 03:00:00	NAMnest_mem000	REFC	030000	CONUS	>=40	81	0.060532
2024-05-01 03:00:00	NAMnest_mem000	REFC	030000	CONUS	>=30	25	0.14477
2024-05-01 03:00:00	NAMnest_mem000	REFC	030000	CONUS	>=20	81	0.4929
2024-05-01 03:00:00	NAMnest_mem000	REFC	030000	CONUS	>=30	9	0.12812
2024-05-01 03:00:00	NAMnest_mem000	REFC	030000	CONUS	>=40	9	0.033771
2024-05-01 03:00:00	NAMnest_mem000	REFC	030000	CONUS	>=50	9	0.0044662
2024-05-01 03:00:00	NAMnest_mem000	REFC	030000	CONUS	>=20	9	0.42056
2024-05-01 03:00:00	NAMnest_mem000	REFC	030000	CONUS	>=30	81	0.17729
2024-05-01 03:00:00	NAMnest_mem000	REFC	030000	CONUS	>=40	25	0.040774
2024-05-01 03:00:00	NAMnest_mem000	REFC	030000	CONUS	>=50	25	0.0078081
2024-05-01 03:00:00	NAMnest_mem000	REFC	030000	CONUS	>=20	25	0.44824
2024-05-01 04:00:00	NAMnest_mem000	REFC	040000	CONUS	>=20	361	0.51661
2024-05-01 04:00:00	NAMnest_mem000	REFC	040000	CONUS	>=50	729	0.043256
2024-05-01 04:00:00	NAMnest_mem000	REFC	040000	CONUS	>=40	729	0.047808
2024-05-01 04:00:00	NAMnest_mem000	REFC	040000	CONUS	>=30	729	0.24463
2024-05-01 04:00:00	NAMnest_mem000	REFC	040000	CONUS	>=20	729	0.55949
2024-05-01 04:00:00	NAMnest_mem000	REFC	040000	CONUS	>=50	361	0.021471
2024-05-01 04:00:00	NAMnest_mem000	REFC	040000	CONUS	>=40	361	0.026117
2024-05-01 04:00:00	NAMnest_mem000	REFC	040000	CONUS	>=30	361	0.19395
2024-05-01 04:00:00	NAMnest_mem000	REFC	040000	CONUS	>=50	81	0.00034933
2024-05-01 04:00:00	NAMnest_mem000	REFC	040000	CONUS	>=40	81	0.0086848
2024-05-01 04:00:00	NAMnest_mem000	REFC	040000	CONUS	>=20	9	0.37558
2024-05-01 04:00:00	NAMnest_mem000	REFC	040000	CONUS	>=20	81	0.44292
2024-05-01 04:00:00	NAMnest_mem000	REFC	040000	CONUS	>=50	25	0.0
2024-05-01 04:00:00	NAMnest_mem000	REFC	040000	CONUS	>=40	25	0.004984
2024-05-01 04:00:00	NAMnest_mem000	REFC	040000	CONUS	>=30	25	0.10473
2024-05-01 04:00:00	NAMnest_mem000	REFC	040000	CONUS	>=20	25	0.40097
2024-05-01 04:00:00	NAMnest_mem000	REFC	040000	CONUS	>=50	9	0.0
2024-05-01 04:00:00	NAMnest_mem000	REFC	040000	CONUS	>=40	9	0.003718
2024-05-01 04:00:00	NAMnest_mem000	REFC	040000	CONUS	>=30	9	0.092231
2024-05-01 04:00:00	NAMnest_mem000	REFC	040000	CONUS	>=30	81	0.13113
2024-05-01 05:00:00	NAMnest_mem000	REFC	050000	CONUS	>=20	361	0.4876
2024-05-01 05:00:00	NAMnest_mem000	REFC	050000	CONUS	>=30	361	0.18525
2024-05-01 05:00:00	NAMnest_mem000	REFC	050000	CONUS	>=40	361	0.028748
2024-05-01 05:00:00	NAMnest_mem000	REFC	050000	CONUS	>=50	361	0.0074794
2024-05-01 05:00:00	NAMnest_mem000	REFC	050000	CONUS	>=50	81	2.469e-05
2024-05-01 05:00:00	NAMnest_mem000	REFC	050000	CONUS	>=30	729	0.22956
2024-05-01 05:00:00	NAMnest_mem000	REFC	050000	CONUS	>=40	729	0.042565
2024-05-01 05:00:00	NAMnest_mem000	REFC	050000	CONUS	>=50	729	0.014659
2024-05-01 05:00:00	NAMnest_mem000	REFC	050000	CONUS	>=20	729	0.5308
2024-05-01 05:00:00	NAMnest_mem000	REFC	050000	CONUS	>=40	81	0.01413
2024-05-01 05:00:00	NAMnest_mem000	REFC	050000	CONUS	>=20	9	0.34324
2024-05-01 05:00:00	NAMnest_mem000	REFC	050000	CONUS	>=20	81	0.41158
2024-05-01 05:00:00	NAMnest_mem000	REFC	050000	CONUS	>=50	25	0.0
2024-05-01 05:00:00	NAMnest_mem000	REFC	050000	CONUS	>=40	25	0.010123
2024-05-01 05:00:00	NAMnest_mem000	REFC	050000	CONUS	>=30	25	0.10238
2024-05-01 05:00:00	NAMnest_mem000	REFC	050000	CONUS	>=20	25	0.36841
2024-05-01 05:00:00	NAMnest_mem000	REFC	050000	CONUS	>=50	9	0.0
2024-05-01 05:00:00	NAMnest_mem000	REFC	050000	CONUS	>=40	9	0.0086095
2024-05-01 05:00:00	NAMnest_mem000	REFC	050000	CONUS	>=30	9	0.090263
2024-05-01 05:00:00	NAMnest_mem000	REFC	050000	CONUS	>=30	81	0.12756
2024-05-01 06:00:00	NAMnest_mem000	REFC	060000	CONUS	>=20	361	0.49363
2024-05-01 06:00:00	NAMnest_mem000	REFC	060000	CONUS	>=30	361	0.21632
2024-05-01 06:00:00	NAMnest_mem000	REFC	060000	CONUS	>=40	361	0.015658
2024-05-01 06:00:00	NAMnest_mem000	REFC	060000	CONUS	>=50	361	0.00012383
2024-05-01 06:00:00	NAMnest_mem000	REFC	060000	CONUS	>=50	729	0.0042124
2024-05-01 06:00:00	NAMnest_mem000	REFC	060000	CONUS	>=30	729	0.25968
2024-05-01 06:00:00	NAMnest_mem000	REFC	060000	CONUS	>=40	729	0.038208
2024-05-01 06:00:00	NAMnest_mem000	REFC	060000	CONUS	>=50	81	0.0
2024-05-01 06:00:00	NAMnest_mem000	REFC	060000	CONUS	>=20	729	0.5345
2024-05-01 06:00:00	NAMnest_mem000	REFC	060000	CONUS	>=40	81	0.0090513
2024-05-01 06:00:00	NAMnest_mem000	REFC	060000	CONUS	>=20	25	0.38307
2024-05-01 06:00:00	NAMnest_mem000	REFC	060000	CONUS	>=20	81	0.42409
2024-05-01 06:00:00	NAMnest_mem000	REFC	060000	CONUS	>=20	9	0.35798
2024-05-01 06:00:00	NAMnest_mem000	REFC	060000	CONUS	>=30	9	0.1249
2024-05-01 06:00:00	NAMnest_mem000	REFC	060000	CONUS	>=40	9	0.0053875
2024-05-01 06:00:00	NAMnest_mem000	REFC	060000	CONUS	>=50	9	0.0
2024-05-01 06:00:00	NAMnest_mem000	REFC	060000	CONUS	>=30	81	0.16199
2024-05-01 06:00:00	NAMnest_mem000	REFC	060000	CONUS	>=30	25	0.13757
2024-05-01 06:00:00	NAMnest_mem000	REFC	060000	CONUS	>=40	25	0.0068731
2024-05-01 06:00:00	NAMnest_mem000	REFC	060000	CONUS	>=50	25	0.0
2024-05-01 07:00:00	NAMnest_mem000	REFC	070000	CONUS	>=50	729	0.0098649
2024-05-01 07:00:00	NAMnest_mem000	REFC	070000	CONUS	>=40	729	0.054006
2024-05-01 07:00:00	NAMnest_mem000	REFC	070000	CONUS	>=30	729	0.28771
2024-05-01 07:00:00	NAMnest_mem000	REFC	070000	CONUS	>=20	729	0.51458
2024-05-01 07:00:00	NAMnest_mem000	REFC	070000	CONUS	>=50	361	0.00063324
2024-05-01 07:00:00	NAMnest_mem000	REFC	070000	CONUS	>=40	361	0.026944
2024-05-01 07:00:00	NAMnest_mem000	REFC	070000	CONUS	>=20	361	0.47128
2024-05-01 07:00:00	NAMnest_mem000	REFC	070000	CONUS	>=50	81	0.0
2024-05-01 07:00:00	NAMnest_mem000	REFC	070000	CONUS	>=40	81	0.013524
2024-05-01 07:00:00	NAMnest_mem000	REFC	070000	CONUS	>=30	361	0.24444
2024-05-01 07:00:00	NAMnest_mem000	REFC	070000	CONUS	>=20	81	0.39881
2024-05-01 07:00:00	NAMnest_mem000	REFC	070000	CONUS	>=30	81	0.18316
2024-05-01 07:00:00	NAMnest_mem000	REFC	070000	CONUS	>=30	9	0.14085
2024-05-01 07:00:00	NAMnest_mem000	REFC	070000	CONUS	>=40	9	0.0099929
2024-05-01 07:00:00	NAMnest_mem000	REFC	070000	CONUS	>=50	9	0.0
2024-05-01 07:00:00	NAMnest_mem000	REFC	070000	CONUS	>=20	9	0.33262
2024-05-01 07:00:00	NAMnest_mem000	REFC	070000	CONUS	>=30	25	0.15547
2024-05-01 07:00:00	NAMnest_mem000	REFC	070000	CONUS	>=40	25	0.011203
2024-05-01 07:00:00	NAMnest_mem000	REFC	070000	CONUS	>=50	25	0.0
2024-05-01 07:00:00	NAMnest_mem000	REFC	070000	CONUS	>=20	25	0.35761
2024-05-01 08:00:00	NAMnest_mem000	REFC	080000	CONUS	>=50	81	0.0
2024-05-01 08:00:00	NAMnest_mem000	REFC	080000	CONUS	>=50	729	0.0027732
2024-05-01 08:00:00	NAMnest_mem000	REFC	080000	CONUS	>=40	729	0.11521
2024-05-01 08:00:00	NAMnest_mem000	REFC	080000	CONUS	>=30	729	0.33351
2024-05-01 08:00:00	NAMnest_mem000	REFC	080000	CONUS	>=20	729	0.52692
2024-05-01 08:00:00	NAMnest_mem000	REFC	080000	CONUS	>=50	361	0.0
2024-05-01 08:00:00	NAMnest_mem000	REFC	080000	CONUS	>=40	361	0.073843
2024-05-01 08:00:00	NAMnest_mem000	REFC	080000	CONUS	>=30	361	0.28947
2024-05-01 08:00:00	NAMnest_mem000	REFC	080000	CONUS	>=20	361	0.48054
2024-05-01 08:00:00	NAMnest_mem000	REFC	080000	CONUS	>=40	81	0.03857
2024-05-01 08:00:00	NAMnest_mem000	REFC	080000	CONUS	>=50	9	0.0
2024-05-01 08:00:00	NAMnest_mem000	REFC	080000	CONUS	>=20	81	0.40005
2024-05-01 08:00:00	NAMnest_mem000	REFC	080000	CONUS	>=30	81	0.23073
2024-05-01 08:00:00	NAMnest_mem000	REFC	080000	CONUS	>=30	9	0.18522
2024-05-01 08:00:00	NAMnest_mem000	REFC	080000	CONUS	>=40	9	0.021405
2024-05-01 08:00:00	NAMnest_mem000	REFC	080000	CONUS	>=20	9	0.32934
2024-05-01 08:00:00	NAMnest_mem000	REFC	080000	CONUS	>=30	25	0.20186
2024-05-01 08:00:00	NAMnest_mem000	REFC	080000	CONUS	>=40	25	0.026552
2024-05-01 08:00:00	NAMnest_mem000	REFC	080000	CONUS	>=50	25	0.0
2024-05-01 08:00:00	NAMnest_mem000	REFC	080000	CONUS	>=20	25	0.35562
2024-05-01 09:00:00	NAMnest_mem000	REFC	090000	CONUS	>=50	729	5.3927e-06
2024-05-01 09:00:00	NAMnest_mem000	REFC	090000	CONUS	>=40	81	0.050346
2024-05-01 09:00:00	NAMnest_mem000	REFC	090000	CONUS	>=30	729	0.32042
2024-05-01 09:00:00	NAMnest_mem000	REFC	090000	CONUS	>=20	729	0.52774
2024-05-01 09:00:00	NAMnest_mem000	REFC	090000	CONUS	>=50	361	0.0
2024-05-01 09:00:00	NAMnest_mem000	REFC	090000	CONUS	>=40	361	0.10874
2024-05-01 09:00:00	NAMnest_mem000	REFC	090000	CONUS	>=30	361	0.27408
2024-05-01 09:00:00	NAMnest_mem000	REFC	090000	CONUS	>=20	361	0.48136
2024-05-01 09:00:00	NAMnest_mem000	REFC	090000	CONUS	>=50	81	0.0
2024-05-01 09:00:00	NAMnest_mem000	REFC	090000	CONUS	>=40	729	0.1656
2024-05-01 09:00:00	NAMnest_mem000	REFC	090000	CONUS	>=30	81	0.21293
2024-05-01 09:00:00	NAMnest_mem000	REFC	090000	CONUS	>=50	25	0.0
2024-05-01 09:00:00	NAMnest_mem000	REFC	090000	CONUS	>=20	9	0.33865
2024-05-01 09:00:00	NAMnest_mem000	REFC	090000	CONUS	>=30	9	0.16599
2024-05-01 09:00:00	NAMnest_mem000	REFC	090000	CONUS	>=40	9	0.02448
2024-05-01 09:00:00	NAMnest_mem000	REFC	090000	CONUS	>=20	81	0.4053
2024-05-01 09:00:00	NAMnest_mem000	REFC	090000	CONUS	>=20	25	0.3635
2024-05-01 09:00:00	NAMnest_mem000	REFC	090000	CONUS	>=30	25	0.18361
2024-05-01 09:00:00	NAMnest_mem000	REFC	090000	CONUS	>=40	25	0.032144
2024-05-01 09:00:00	NAMnest_mem000	REFC	090000	CONUS	>=50	9	0.0
2024-05-01 10:00:00	NAMnest_mem000	REFC	100000	CONUS	>=50	81	0.0
2024-05-01 10:00:00	NAMnest_mem000	REFC	100000	CONUS	>=40	729	0.21005
2024-05-01 10:00:00	NAMnest_mem000	REFC	100000	CONUS	>=30	729	0.37569
2024-05-01 10:00:00	NAMnest_mem000	REFC	100000	CONUS	>=20	729	0.54343
2024-05-01 10:00:00	NAMnest_mem000	REFC	100000	CONUS	>=50	361	0.0
2024-05-01 10:00:00	NAMnest_mem000	REFC	100000	CONUS	>=40	361	0.16307
2024-05-01 10:00:00	NAMnest_mem000	REFC	100000	CONUS	>=30	361	0.32664
2024-05-01 10:00:00	NAMnest_mem000	REFC	100000	CONUS	>=20	361	0.49778
2024-05-01 10:00:00	NAMnest_mem000	REFC	100000	CONUS	>=40	81	0.11058
2024-05-01 10:00:00	NAMnest_mem000	REFC	100000	CONUS	>=50	729	0.00016518
2024-05-01 10:00:00	NAMnest_mem000	REFC	100000	CONUS	>=20	81	0.42333
2024-05-01 10:00:00	NAMnest_mem000	REFC	100000	CONUS	>=20	9	0.35388
2024-05-01 10:00:00	NAMnest_mem000	REFC	100000	CONUS	>=30	9	0.2058
2024-05-01 10:00:00	NAMnest_mem000	REFC	100000	CONUS	>=40	9	0.06624
2024-05-01 10:00:00	NAMnest_mem000	REFC	100000	CONUS	>=50	9	0.0
2024-05-01 10:00:00	NAMnest_mem000	REFC	100000	CONUS	>=30	81	0.26086
2024-05-01 10:00:00	NAMnest_mem000	REFC	100000	CONUS	>=30	25	0.22666
2024-05-01 10:00:00	NAMnest_mem000	REFC	100000	CONUS	>=40	25	0.081879
2024-05-01 10:00:00	NAMnest_mem000	REFC	100000	CONUS	>=50	25	0.0
2024-05-01 10:00:00	NAMnest_mem000	REFC	100000	CONUS	>=20	25	0.38051
2024-05-01 11:00:00	NAMnest_mem000	REFC	110000	CONUS	>=40	81	0.18066
2024-05-01 11:00:00	NAMnest_mem000	REFC	110000	CONUS	>=40	729	0.26617
2024-05-01 11:00:00	NAMnest_mem000	REFC	110000	CONUS	>=30	729	0.42874
2024-05-01 11:00:00	NAMnest_mem000	REFC	110000	CONUS	>=20	729	0.52363
2024-05-01 11:00:00	NAMnest_mem000	REFC	110000	CONUS	>=50	361	0.00021984
2024-05-01 11:00:00	NAMnest_mem000	REFC	110000	CONUS	>=40	361	0.24195
2024-05-01 11:00:00	NAMnest_mem000	REFC	110000	CONUS	>=30	361	0.38236
2024-05-01 11:00:00	NAMnest_mem000	REFC	110000	CONUS	>=20	361	0.4819
2024-05-01 11:00:00	NAMnest_mem000	REFC	110000	CONUS	>=50	81	0.0
2024-05-01 11:00:00	NAMnest_mem000	REFC	110000	CONUS	>=50	729	0.0032067
2024-05-01 11:00:00	NAMnest_mem000	REFC	110000	CONUS	>=30	81	0.31197
2024-05-01 11:00:00	NAMnest_mem000	REFC	110000	CONUS	>=50	25	0.0
2024-05-01 11:00:00	NAMnest_mem000	REFC	110000	CONUS	>=40	25	0.1284
2024-05-01 11:00:00	NAMnest_mem000	REFC	110000	CONUS	>=30	25	0.27067
2024-05-01 11:00:00	NAMnest_mem000	REFC	110000	CONUS	>=20	25	0.37337
2024-05-01 11:00:00	NAMnest_mem000	REFC	110000	CONUS	>=50	9	0.0
2024-05-01 11:00:00	NAMnest_mem000	REFC	110000	CONUS	>=40	9	0.10059
2024-05-01 11:00:00	NAMnest_mem000	REFC	110000	CONUS	>=30	9	0.24544
2024-05-01 11:00:00	NAMnest_mem000	REFC	110000	CONUS	>=20	9	0.3478
2024-05-01 11:00:00	NAMnest_mem000	REFC	110000	CONUS	>=20	81	0.41348
2024-05-01 12:00:00	NAMnest_mem000	REFC	120000	CONUS	>=30	361	0.4554
2024-05-01 12:00:00	NAMnest_mem000	REFC	120000	CONUS	>=40	361	0.06034
2024-05-01 12:00:00	NAMnest_mem000	REFC	120000	CONUS	>=50	361	0.0064453
2024-05-01 12:00:00	NAMnest_mem000	REFC	120000	CONUS	>=20	361	0.45439
2024-05-01 12:00:00	NAMnest_mem000	REFC	120000	CONUS	>=30	729	0.49945
2024-05-01 12:00:00	NAMnest_mem000	REFC	120000	CONUS	>=40	729	0.080762
2024-05-01 12:00:00	NAMnest_mem000	REFC	120000	CONUS	>=50	729	0.015255
2024-05-01 12:00:00	NAMnest_mem000	REFC	120000	CONUS	>=20	729	0.49903
2024-05-01 12:00:00	NAMnest_mem000	REFC	120000	CONUS	>=50	81	0.0
2024-05-01 12:00:00	NAMnest_mem000	REFC	120000	CONUS	>=40	81	0.035549
2024-05-01 12:00:00	NAMnest_mem000	REFC	120000	CONUS	>=20	9	0.31272
2024-05-01 12:00:00	NAMnest_mem000	REFC	120000	CONUS	>=20	81	0.38003
2024-05-01 12:00:00	NAMnest_mem000	REFC	120000	CONUS	>=50	25	0.0
2024-05-01 12:00:00	NAMnest_mem000	REFC	120000	CONUS	>=40	25	0.023927
2024-05-01 12:00:00	NAMnest_mem000	REFC	120000	CONUS	>=30	25	0.31528
2024-05-01 12:00:00	NAMnest_mem000	REFC	120000	CONUS	>=20	25	0.33821
2024-05-01 12:00:00	NAMnest_mem000	REFC	120000	CONUS	>=50	9	0.0
2024-05-01 12:00:00	NAMnest_mem000	REFC	120000	CONUS	>=40	9	0.01769
2024-05-01 12:00:00	NAMnest_mem000	REFC	120000	CONUS	>=30	9	0.283
2024-05-01 12:00:00	NAMnest_mem000	REFC	120000	CONUS	>=30	81	0.36906
2024-05-01 13:00:00	NAMnest_mem000	REFC	130000	CONUS	>=20	361	0.41086
2024-05-01 13:00:00	NAMnest_mem000	REFC	130000	CONUS	>=30	361	0.43351
2024-05-01 13:00:00	NAMnest_mem000	REFC	130000	CONUS	>=40	361	0.035299
2024-05-01 13:00:00	NAMnest_mem000	REFC	130000	CONUS	>=50	729	0.017701
2024-05-01 13:00:00	NAMnest_mem000	REFC	130000	CONUS	>=30	729	0.4735
2024-05-01 13:00:00	NAMnest_mem000	REFC	130000	CONUS	>=40	729	0.045509
2024-05-01 13:00:00	NAMnest_mem000	REFC	130000	CONUS	>=50	81	0.0025416
2024-05-01 13:00:00	NAMnest_mem000	REFC	130000	CONUS	>=50	361	0.011911
2024-05-01 13:00:00	NAMnest_mem000	REFC	130000	CONUS	>=40	81	0.017877
2024-05-01 13:00:00	NAMnest_mem000	REFC	130000	CONUS	>=20	729	0.45014
2024-05-01 13:00:00	NAMnest_mem000	REFC	130000	CONUS	>=20	81	0.34215
2024-05-01 13:00:00	NAMnest_mem000	REFC	130000	CONUS	>=50	25	0.0
