model	fcst_var	fcst_lead	fcst_thresh	interp_pnts	fss
NAMnest_mem000	REFC	000000	>=50	81	0.07423318580645161
NAMnest_mem000	REFC	010000	>=50	81	0.07255103387096774
NAMnest_mem000	REFC	020000	>=50	81	0.04694823548387097
NAMnest_mem000	REFC	030000	>=50	81	0.028400447741935484
NAMnest_mem000	REFC	040000	>=50	81	0.03653923870967742
NAMnest_mem000	REFC	050000	>=50	81	0.03549284022580645
NAMnest_mem000	REFC	060000	>=50	81	0.034200417299999994
NAMnest_mem000	REFC	070000	>=50	81	0.03197617774193548
NAMnest_mem000	REFC	080000	>=50	81	0.02464991680645161
NAMnest_mem000	REFC	090000	>=50	81	0.030449335419354837
NAMnest_mem000	REFC	100000	>=50	81	0.03443417903225806
NAMnest_mem000	REFC	110000	>=50	81	0.03201554422580646
NAMnest_mem000	REFC	120000	>=50	81	0.030348072258064514
NAMnest_mem000	REFC	130000	>=50	81	0.03243581432258065
NAMnest_mem000	REFC	140000	>=50	81	0.04703460483870967
NAMnest_mem000	REFC	150000	>=50	81	0.022353614516129033
NAMnest_mem000	REFC	160000	>=50	81	0.02022800199032258
NAMnest_mem000	REFC	170000	>=50	81	0.03177269580645162
NAMnest_mem000	REFC	180000	>=50	81	0.01880231428064516
NAMnest_mem000	REFC	190000	>=50	81	0.03194736161290322
NAMnest_mem000	REFC	200000	>=50	81	0.032451210967741936
NAMnest_mem000	REFC	210000	>=50	81	0.034868875806451614
NAMnest_mem000	REFC	220000	>=50	81	0.020172673548387098
NAMnest_mem000	REFC	230000	>=50	81	0.02909583419354839
NAMnest_mem000	REFC	240000	>=50	81	0.033211853670967746
NAMnest_mem000	REFC	250000	>=50	81	0.03018783580645161
NAMnest_mem000	REFC	260000	>=50	81	0.02297459829032258
NAMnest_mem000	REFC	270000	>=50	81	0.02906466741935484
NAMnest_mem000	REFC	280000	>=50	81	0.025454274032258063
NAMnest_mem000	REFC	290000	>=50	81	0.03044008487419355
NAMnest_mem000	REFC	300000	>=50	81	0.020036587032258066
NAMnest_mem000	REFC	310000	>=50	81	0.02143354241935484
NAMnest_mem000	REFC	320000	>=50	81	0.014321346548387097
NAMnest_mem000	REFC	330000	>=50	81	0.013924224612903225
NAMnest_mem000	REFC	340000	>=50	81	0.01679101935483871
NAMnest_mem000	REFC	350000	>=50	81	0.016739915161290322
NAMnest_mem000	REFC	360000	>=50	81	0.02403099129032258
NAMnest_mem000	REFC	370000	>=50	81	0.016894523548387094
NAMnest_mem000	REFC	380000	>=50	81	0.01376781129032258
NAMnest_mem000	REFC	390000	>=50	81	0.005314200322580645
NAMnest_mem000	REFC	400000	>=50	81	0.00664593841935484
NAMnest_mem000	REFC	410000	>=50	81	0.003393785483870968
NAMnest_mem000	REFC	420000	>=50	81	0.008241075387096775
NAMnest_mem000	REFC	430000	>=50	81	0.019145064193548385
NAMnest_mem000	REFC	440000	>=50	81	0.013310202903225807
NAMnest_mem000	REFC	450000	>=50	81	0.01626145258064516
NAMnest_mem000	REFC	460000	>=50	81	0.014920032903225806
NAMnest_mem000	REFC	470000	>=50	81	0.014322463870967743
NAMnest_mem000	REFC	480000	>=50	81	0.01735606722580645
NAMnest_mem000	REFC	490000	>=50	81	0.022099421258064515
NAMnest_mem000	REFC	500000	>=50	81	0.01757075012903226
NAMnest_mem000	REFC	510000	>=50	81	0.011637806483870968
NAMnest_mem000	REFC	520000	>=50	81	0.016464205338709677
NAMnest_mem000	REFC	530000	>=50	81	0.012012188419354839
NAMnest_mem000	REFC	540000	>=50	81	0.014837295838709678
NAMnest_mem000	REFC	550000	>=50	81	0.014545542709677419
NAMnest_mem000	REFC	560000	>=50	81	0.008188126774193548
NAMnest_mem000	REFC	570000	>=50	81	0.009673961903225807
NAMnest_mem000	REFC	580000	>=50	81	0.007361836774193549
NAMnest_mem000	REFC	590000	>=50	81	0.007783297741935484
NAMnest_mem000	REFC	600000	>=50	81	0.013178931632258065
